id,id_tissue,anom_id,treatment,replicate,tm,t1,t2,a1,anon_id_ROI,ROI,_ori_order
a1,a1_sp,x46,PBS,1,2547.99,593.76,3506.95,32.85,x46_ROI,y,24
a2,a2_sp,x55,PBS,2,3616.97,2977.13,3861.96,42.9,x55,n,25
a3,a3_sp,x48,PBS,3,1636.41,328.09,3581.49,60.01,x48_ROI,y,26
a4,a4_sp,x65,PBS,4,2127.55,589.23,3278.51,43.1,x65,n,27
a5,a5_sp,x53,PBS,5,2592.87,799.97,3552.93,35.48,x53,n,28
a6,a6_sp,x54,PBS,6,1710.6,571.13,3043.32,53.69,x54,n,29
a7,a7_sp,x44,PBS,7,2055.88,453.56,3102.91,39.46,x44_ROI,y,30
a8,a8_sp,x74,PBS,8,1931.15,490.41,3074.18,44.15,x74_ROI,y,31
a9,a9_sp,x49,PBS,9,2026.53,562.37,3037.09,40.43,x49_ROI,y,32
a10,a10_sp,x42,PBS,10,2587.73,685.43,3478.52,32.02,x42_ROI,y,33
c1,c1_sp,x30,2DG,1,3666.42,2875.78,3956.14,42.03,x30,n,42
c2,c2_sp,x33,2DG,2,2707.33,896.33,3583.13,33.83,x33,n,43
c3,c3_sp,x63,2DG,3,1643.93,400.84,3111.31,54.28,x63_ROI,y,44
c4,c4_sp,x58,2DG,4,3175.22,1870.12,3695.11,35.14,x58,n,45
c5,c5_sp,x35,2DG,5,2565.69,675.1,3593.99,35.66,x35,n,46
c6,c6_sp,x34,2DG,6,3032.75,1677.39,3590.45,33.96,x34_ROI,y,47
c7,c7_sp,x29,2DG,7,3044.33,1537.65,3631.57,31.08,x29_ROI,y,48
c8,c8_sp,x70,2DG,8,2964.66,1286.9,3605.7,29.71,x70_ROI,y,49
c9,c9_sp,x60,2DG,9,2445.46,543.39,3674.68,39.42,x60,n,50
c10,c10_sp,x57,2DG,10,2879.39,1128.91,3646.59,32.77,x57,n,51
e1,e1_sp,x28,RotAA,1,1954.01,415.81,3282.97,46.66,x28_ROI,y,62
e2,e2_sp,x38,RotAA,2,972.79,544.27,2722.88,80.32,x38,n,63
e3,e3_sp,x61,RotAA,3,1416.81,464.14,2999.82,62.29,x61,n,64
e4,e4_sp,x52,RotAA,4,1843.87,411.39,3351.65,51.87,x52,n,65
e5,e5_sp,x69,RotAA,5,1793.33,543.15,3107.33,52.13,x69,n,66
e6,e6_sp,x66,RotAA,6,913.78,523.04,2573.55,80.82,x66,n,67
e7,e7_sp,x76,RotAA,7,1758.54,340.94,3167.23,49.87,x76_ROI,y,68
e8,e8_sp,x67,RotAA,8,1796.72,396.71,3187.49,49.9,x67,n,69
e9,e9_sp,x39,RotAA,9,1096.57,508.98,2895.68,75.69,x39,n,70
e10,e10_sp,x50,RotAA,10,1864.8,463.1,2973.92,44.04,x50_ROI,y,71
